,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
157,4,1,0,2,4,6258,2385,0.043447872484624506,0.03652931441084172,0.010801859093519297,0.0,8.1476125446089,8.185664458740982,3.724512662848487,4.230675117095015,0.035243663836300725,0.036278207962726565,0.06312927482725007,0.06725357406682911
158,4,1,1,2,4,862,982,0.01869603072324433,0.01307117055650709,0.006841416582000129,5.4802488014023786e-05,8.094324556021148,8.18437725604008,2.914111518461823,3.7869934505161185,0.011239079950696023,0.013057502484404907,0.027206600372328246,0.032484856657015324
159,4,1,2,2,4,82,250,0.006585660586343963,0.0014634843432914327,0.0030925111380891014,7.5369788958413834e-06,8.167058787132374,8.182921941241865,1.9935668768074055,3.1029286394347455,0.001251610742610561,0.0012433467292092544,0.007830802753255314,0.009504573581081855
160,4,1,3,2,4,11,43,0.0030051343368642327,0.00020796286947737542,0.0012014548394595217,1.1042758336721279e-05,8.212460618902524,8.16033267780778,1.266521515343604,2.2227975172804473,0.00014993656852781368,0.00014828736528610173,0.001486918017263537,0.0018930712505058071
161,4,1,4,2,4,2,6,4.1247979971154036e-05,4.3995227397147785e-06,0.0002023565722911802,7.395069288418203e-08,8.159469679362854,7.938094267417743,0.9438353662545262,1.238077418733943,1.4789470594538906e-05,1.4779260103546535e-05,0.0002142937894333145,0.00022718201447324328
162,4,1,5,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
163,4,1,6,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
164,4,2,0,2,4,5387,2202,0.04147687211198077,0.034497018357507674,0.01039532344124149,0.0,8.140314971574643,8.18570249713609,3.6893503764103244,4.190758691558099,0.032910668910409495,0.03427965016428986,0.05888044688791266,0.06285186702935626
165,4,2,1,2,4,426,490,0.014187917591750346,0.006673016393939314,0.004482880820419469,2.878868603862117e-05,8.113461293902397,8.184902745972757,2.989767253360637,3.4394006851470564,0.006562201702324765,0.007242192128343396,0.01577355632656441,0.017755500559154758
166,4,2,2,2,4,35,59,0.005513999678972416,0.00031612794618565156,0.0012503935095805508,5.169405627391231e-07,8.140241591448621,8.176881818270921,1.958137419973045,2.3809657286485733,0.0005164899724651813,0.0005090562301053207,0.002320400513267943,0.002534218768478715
167,4,2,3,2,4,3,5,0.00046192224697948377,0.00021095838728783442,0.00015326672949458702,1.9200184736057647e-07,8.032061900437,8.050400210647824,1.0002580223798956,1.146917904881244,2.961221032049929e-05,2.9569311508894388e-05,0.0001824778061396246,0.00018075833184993018
168,4,2,4,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
169,4,2,5,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
170,4,3,0,2,4,6657,2629,0.07200560460686105,0.03739074040550915,0.01188384395661278,4.0928775909353015e-05,8.146180332478503,8.185213717423615,3.757602917104985,4.279377392199649,0.03623343233942008,0.03704545081418995,0.06862092180352586,0.07224658319344907
171,4,3,1,2,4,932,1150,0.07200560460686112,0.014091805892710323,0.007157246289168811,0.0,8.108414641425215,8.184968678064294,3.0002386272591597,3.8659564406357863,0.011997907412852069,0.013802802974570805,0.03125690602563213,0.03703393339598602
172,4,3,2,2,4,112,371,0.072005604606861,0.0018909500356970566,0.0038006452036500474,9.032789061760556e-07,8.134435928841386,8.183243358927886,2.2048070114338563,3.3002988748995117,0.0016711163147785778,0.0017406457005987755,0.01137055450713748,0.013755257615836644
173,4,3,3,2,4,11,33,0.07200560460686081,0.00028161619493610734,0.0008517687047143793,2.8786764028460553e-06,8.194500214501018,8.157066524909663,1.512426575165535,2.0904512183438486,0.00015104474777987464,0.0001482874237633798,0.0012679397713742408,0.0014723956531460447
174,4,3,4,2,4,2,4,0.07200560460686192,1.0721498487582803e-05,0.00017845246581457827,1.5861931012889005e-07,6.133398042996649,7.936506404403641,0.6844007866812816,1.0353451550086608,1.5258763709715514e-05,1.4779259534156275e-05,0.00011928430750171161,0.0001349147117091348
175,4,3,5,2,4,2,1,0.07200560460686192,1.6678628366302573e-05,0.0,0.0,6.133398042996649,7.932692638685204,0.3422003933406408,0.3422003933406408,1.5258763709715514e-05,1.4779259951434326e-05,0.0,0.0
176,4,3,6,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
177,4,3,7,2,4,1,1,0.0,0.0,0.0,0.0,,,0.3422003933406408,0.3422003933406408,0.0,0.0,0.0,0.0
178,4,4,0,2,4,6559,2456,0.043526000995118996,0.03688993886180724,0.010819040177388111,0.00021413541031351858,8.148680403620114,8.18428845449474,3.734410945098439,4.245342686446323,0.03603529923855656,0.03690109526527805,0.0647429638788179,0.06838415580912031
179,4,4,1,2,4,249,413,0.01093505711899565,0.004302957825067962,0.0040675774156151865,7.953736873965759e-06,8.136944564584834,8.184475201842766,2.805688549839677,3.3539214834135764,0.003987584998049238,0.0041990595065425785,0.013308644683095127,0.015187875583712812
180,4,4,2,2,4,20,39,0.005080218567428744,0.00040638936814913493,0.0010522460571349946,2.3470035632154607e-07,8.130374953283141,8.172343673685743,1.7147526775770288,2.173979390773506,0.00028413630191538364,0.00028272674962796096,0.0015394139623640254,0.0017270263643912361
181,4,4,3,2,4,2,6,0.000515482223454846,5.2755722554979206e-05,0.00015416890455766086,1.4189855605958e-07,7.518810390182683,7.938182334348838,0.852582517000557,1.2380779697172093,1.478943288378628e-05,1.4779260147783392e-05,0.00020736093328601365,0.0002271835568397512
182,4,4,4,2,4,1,2,0.0,0.0,6.446767559703157e-05,1.084328267522694e-07,,,0.3735184704025983,0.6887731778471613,0.0,0.0,4.1885387296841885e-05,4.4647629133613046e-05
